,gseID,journal,pubmed_id,title
816,GSE74410_GSE74409_GSE74406,Nature communications,27108815,
817,notAvailable,Cancer discovery,27102072,
818,GSE55981,Nature communications,27094546,
819,GSE74597_GSE74596_GSE74595_GSE74594,Nature immunology,27089380,
820,notAvailable,Nature methods,27088313,
821,notAvailable,Cancer cell,27070703,
822,notAvailable,Cancer cell,27070697,
823,GSE74360,eLife,27063937,
824,notAvailable,Cell,27062923,
825,notAvailable,Cell stem cell,27038591,
826,notAvailable,Nature communications,27021558,
827,GSE77849_GSE77847_GSE77846_GSE77026,Cancer discovery,27016502,
828,GSE70657,Nature communications,27009448,
829,GSE79541_GSE70420_GSE70419_GSE58801,Cell stem cell,26996597,
830,notAvailable,Molecular cell,26990994,
831,notAvailable,eLife,26950945,
832,notAvailable,Nature methods,26950746,
833,notAvailable,"Science (New York, N.Y.)",26940868,
834,GSE76881,Nature communications,26936319,
835,notAvailable,Nature communications,26926603,
836,notAvailable,"Science (New York, N.Y.)",26912857,
837,notAvailable,eLife,26901440,
838,GSE69776,eLife,26901438,
839,GSE70580,Nature immunology,26878113,
840,notAvailable,Cell,26871627,
841,notAvailable,Cell stem cell,26831517,
842,notAvailable,eLife,26824388,
843,notAvailable,"Science (New York, N.Y.)",26823430,
844,notAvailable,Nature communications,26814032,
845,GSE75722,"Science (New York, N.Y.)",26797145,
846,notAvailable,Immunity,26789920,
847,GSE76005,Nature methods,26780092,
848,notAvailable,eLife,26765569,
849,notAvailable,Nature communications,26752026,
850,notAvailable,eLife,26751780,
851,notAvailable,Nature communications,26739115,
852,GSE74923,Nature communications,26732280,
853,GSE71585,Nature neuroscience,26727548,
854,notAvailable,Cell,26687353,
855,notAvailable,Cell,26687346,
856,notAvailable,eLife,26646184,
857,notAvailable,eLife,26633880,
858,GSE72859_GSE72858_GSE72857,Cell,26627738,
859,GSE75111_GSE75110_GSE75109_GSE75108_GSE75107_GSE75106_GSE75105_GSE75104_GSE75103_GSE74833,Cell,26607794,
860,GSE61844,Nature,26605532,
861,notAvailable,Nature communications,26586423,
862,notAvailable,Science translational medicine,26582898,
863,notAvailable,Nature communications,26582123,
864,notAvailable,Cell,26544934,
865,GSE75413,"Science (New York, N.Y.)",26541607,
866,notAvailable,Neuron,26539889,
867,notAvailable,Nature communications,26522429,
868,notAvailable,Nature communications,26503691,
869,notAvailable,Nature communications,26489834,
870,notAvailable,eLife,26488364,
871,notAvailable,Nature neuroscience,26479587,
872,GSE71982,Nature communications,26469390,
873,notAvailable,Nature,26469050,
874,GSE71712,Nature,26466562,
875,notAvailable,Cell stem cell,26431182,
876,notAvailable,"Science (New York, N.Y.)",26430121,
877,GSE70555_GSE70554_GSE70552,Nature,26416748,
878,notAvailable,Nature,26416731,
879,notAvailable,Cell,26406378,
880,notAvailable,Nature communications,26399630,
881,notAvailable,Nature communications,26391800,
882,notAvailable,Nature cell biology,26389663,
883,GSE69841_GSE69423_GSE69373_GSE68596_GSE68264_GSE68263_GSE68262_GSE68261_GSE68260,Cell,26365489,
884,notAvailable,Nature communications,26364903,
885,notAvailable,Nature communications,26360614,
886,GSE65531_GSE65530_GSE65529_GSE65528,Cell,26343579,
887,notAvailable,Nature communications,26334616,
888,notAvailable,Nature,26322584,
889,notAvailable,Cancer cell,31474569,
890,GSE132566,Immunity,31474513,
891,notAvailable,Molecular cell,31471188,
892,GSE133699,Immunity,31471106,
893,notAvailable,eLife,31464682,
894,notAvailable,eLife,31442201,
895,notAvailable,Neuron,31422865,
896,GSE132502,Molecular cell,31421980,
897,notAvailable,eLife,31418692,
898,notAvailable,eLife,31418408,
899,GSE134163,eLife,31411560,
900,GSE124494,Immunity,31402260,
901,GSE129516,Molecular cell,31398325,
902,GSE134691_GSE134420_GSE134286,Nature,31391580,
903,notAvailable,Nature communications,31387995,
904,GSE125694,eLife,31386623,
905,notAvailable,Cell systems,31377170,
906,notAvailable,eLife,31368890,
907,notAvailable,Nature methods,31363220,
908,notAvailable,Nature methods,31363217,
909,notAvailable,Nature methods,31363216,
910,GSE123814_GSE123813_GSE123812,Nature medicine,31359002,
911,notAvailable,Nature medicine,31359001,
912,GSE133032_GSE133031_GSE132964,Neuron,31353074,
913,GSE130473,Nature communications,31350390,
914,notAvailable,Cell,31348891,
915,GSE121617,"Science (New York, N.Y.)",31346039,
916,GSE133785_GSE133706_GSE133704,Cancer discovery,31345789,
917,notAvailable,eLife,31343409,
918,GSE119926,Nature,31341285,
919,GSE132300_GSE128627_GSE128626_GSE122084_GSE122083_GSE122058,Nature communications,31332193,
920,GSE131928,Cell,31327527,
921,notAvailable,eLife,31322498,
922,GSE118885_GSE118884_GSE118883_GSE118882,Nature,31316208,
923,notAvailable,Nature communications,31316066,
924,notAvailable,Nature methods,31308548,
925,notAvailable,Nature,31296938,
926,GSE115612,Nature,31292545,
927,GSE124395,Nature,31292543,
928,notAvailable,eLife,31282856,
929,notAvailable,Neuron,31271756,
930,GSE133452_GSE131328_GSE131327_GSE130808_GSE130806_GSE130515,Cell stem cell,31271750,
931,notAvailable,Nature,31270459,
932,GSE115242_GSE115234,Nature communications,31266962,
933,GSE128518,Cell,31257031,
934,GSE123508_GSE109031,Cell,31257026,
935,notAvailable,Nature communications,31249377,
936,notAvailable,"Science (New York, N.Y.)",31249057,
937,GSE124904,Nature communications,31243281,
938,GSE113293,eLife,31237565,
939,notAvailable,eLife,31232694,
940,notAvailable,eLife,31232691,
941,notAvailable,Cell,31230711,
942,notAvailable,Cell systems,31229559,
943,notAvailable,Nature communications,31227714,
944,GSE122843_GSE110901_GSE110900_GSE110899_GSE110898_GSE110897_GSE110896_GSE110895_GSE110894,Nature communications,31222014,
945,notAvailable,Nature immunology,31213723,
946,GSE130287,Nature communications,31213601,
947,notAvailable,Nature immunology,31209404,
948,GSE129578,Nature methods,31209384,
949,notAvailable,Nature neuroscience,31209381,
950,GSE130148,Nature medicine,31209336,
951,GSE128307_GSE121459_GSE121458_GSE121457_GSE121451,Nature cell biology,31209294,
952,notAvailable,Cell,31199914,
953,notAvailable,Cancer cell,31185217,
954,notAvailable,Cell,31178122,
955,GSE128639,Cell,31178118,
956,notAvailable,eLife,31172949,
957,GSE129519,Nature,31168097,
958,notAvailable,Nature neuroscience,31160741,
959,GSE129074,Nature cell biology,31160712,
960,GSE113616,Cell,31155233,
961,GSE126657,Neuron,31151773,
962,GSE116001,eLife,31149899,
963,notAvailable,Cancer discovery,31147317,
964,GSE129451_GSE129087,Nature,31142839,
965,notAvailable,Nature methods,31133762,
966,GSE128423,Cell,31130381,
967,GSE131038,Immunity,31128961,
968,GSE118614,Neuron,31128945,
969,notAvailable,Nature immunology,31110316,
970,notAvailable,Nature communications,31110232,
971,notAvailable,Nature communications,31097704,
972,notAvailable,"Science (New York, N.Y.)",31097668,
973,notAvailable,Science translational medicine,31092694,
974,GSE122187_GSE117542,Nature,31086336,
975,notAvailable,Nature cell biology,31086261,
976,notAvailable,Nature communications,31086185,
977,GSE121560_GSE116254_GSE106422_GSE104408_GSE104406_GSE104405_GSE104404_GSE104379,Cancer discovery,31085557,
978,notAvailable,eLife,31084705,
979,notAvailable,Cell stem cell,31080135,
980,GSE118953,"Science (New York, N.Y.)",31073041,
981,notAvailable,Nature communications,31064985,
982,notAvailable,Nature immunology,31061532,
983,notAvailable,Cell stem cell,31051126,
984,notAvailable,Cell stem cell,31051125,
985,GSE118068_GSE64415,Nature,31043743,
986,notAvailable,Cancer discovery,31040105,
987,notAvailable,Nature genetics,31036964,
988,GSE128891_GSE128890_GSE128889,"Science (New York, N.Y.)",31023895,
989,GSE109924,Nature genetics,31011212,
990,GSE126310,Nature methods,31011186,
991,notAvailable,Science immunology,31004012,
992,notAvailable,Cell,31002790,
993,notAvailable,Nature,30971825,
994,GSE114557,Nature methods,30962623,
995,notAvailable,Nature methods,30962620,
996,GSE119840_GSE111764,Nature communications,30962434,
997,GSE123135_GSE123124_GSE123046,Nature,30959515,
998,GSE122578_GSE122577_GSE122576,eLife,30958261,
999,notAvailable,Cell,30955888,
1000,notAvailable,Cell systems,30954476,
1001,notAvailable,Cell systems,30954475,
1002,GSE121039,"Science (New York, N.Y.)",30948545,
1003,notAvailable,Nature communications,30944331,
1004,GSE120816,Cancer cell,30930118,
1005,GSE115427,Cell,30929901,
1006,GSE129741_GSE129740_GSE129738,Immunity,30926233,
1007,notAvailable,"Science (New York, N.Y.)",30923225,
1008,notAvailable,Nature,30918409,
1009,GSE128393,Neuron,30905392,
1010,notAvailable,Cell systems,30904375,
1011,notAvailable,Immunity,30902636,
1012,notAvailable,Nature communications,30890697,
1013,notAvailable,Nature methods,30886411,
1014,GSE117975_GSE113530,Nature methods,30886410,
1015,GSE124174,Nature neuroscience,30886407,
1016,notAvailable,Nature,30886393,
1017,notAvailable,Nature communications,30874552,
1018,notAvailable,Nature communications,30862852,
1019,GSE125316,Nature communications,30862842,
1020,GSE123070_GSE111404,Nature communications,30862783,
1021,GSE119453,Nature genetics,30858613,
1022,notAvailable,Nature biomedical engineering,30854249,
1023,notAvailable,Cell,30853217,
1024,notAvailable,Cell systems,30852250,
1025,notAvailable,Cell,30849376,
1026,notAvailable,Cell stem cell,30849359,
1027,notAvailable,eLife,30803483,
1028,GSE107051,Cell,30799036,
1029,notAvailable,Cell systems,30797773,
1030,notAvailable,Cell,30794779,
1031,notAvailable,Immunity,30784577,
1032,GSE124061,Cell,30773317,
1033,GSE125044,Cell systems,30772378,
1034,notAvailable,Neuron,30770253,
1035,notAvailable,Immunity,30770246,
1036,GSE124335_GSE120747_GSE120745_GSE120744_GSE120629,Nature,30760929,
1037,notAvailable,Nature methods,30742041,
1038,GSE124731,Nature communications,30737409,
